,Code,Cpr,Hpr,Lpr,Opr,PB,PE,Time,Turnover,Volume
0,000001.SZ,16.66,17.04,16.56,16.98,1.7711,11.5345,20150423,1.9652,2319688.4
1,000001.SZ,16.95,16.98,16.5,16.58,1.802,11.7353,20150422,2.3493,2773141.72
2,000001.SZ,16.56,16.7,15.98,16.32,1.7605,11.4653,20150421,2.0467,2415936.96
3,000001.SZ,16.3,17.2,16.16,17.1,1.7329,11.2853,20150420,2.9204,3447257.4
4,000001.SZ,16.93,17.5,16.8,17.5,1.7998,11.7215,20150417,2.2107,2609523.37
5,000001.SZ,17.0,17.1,16.25,16.34,1.8073,11.7699,20150416,2.0903,2467407.21
6,000001.SZ,16.65,17.28,16.1,16.3,1.7701,11.5276,20150415,2.8953,3417642.03
7,000001.SZ,16.3,16.5,16.1,16.5,1.7329,11.2853,20150414,2.0945,2472375.01
8,000001.SZ,16.54,17.16,16.15,17.0,1.7584,11.4514,20150413,4.0725,4807153.21
9,000001.SZ,19.8,19.8,17.85,18.0,1.7275,11.4237,20150410,3.3957,3340209.79
10,000001.SZ,18.0,19.05,17.73,17.95,1.5704,10.3852,20150409,3.2257,3173063.25
11,000001.SZ,17.92,18.08,16.65,16.93,1.5635,10.3391,20150408,3.4276,3371646.31
12,000001.SZ,16.81,16.96,16.15,16.15,1.4666,9.6986,20150407,3.0096,2960472.28
13,000001.SZ,15.85,15.94,15.61,15.7,1.3829,9.1448,20150403,1.4588,1434941.32
14,000001.SZ,15.8,16.14,15.62,16.09,1.3785,9.1159,20150402,1.4292,1405837.42
15,000001.SZ,15.96,16.14,15.55,15.82,1.3925,9.2082,20150401,1.6706,1643316.41
16,000001.SZ,15.75,16.6,15.63,16.04,1.3741,9.0871,20150331,2.7786,2733183.21
17,000001.SZ,15.66,15.94,15.1,15.23,1.3663,9.0351,20150330,2.6255,2582613.68
18,000001.SZ,15.08,15.29,14.86,15.1,1.3157,8.7005,20150327,1.065,1047638.87
19,000001.SZ,15.11,15.42,14.71,14.86,1.3183,8.7178,20150326,1.5126,1487891.58
20,000001.SZ,14.91,15.32,14.89,15.28,1.3009,8.6024,20150325,1.6179,1591468.01
21,000001.SZ,15.35,15.59,15.22,15.43,1.3392,8.8563,20150324,1.5851,1559193.47
22,000001.SZ,15.43,15.56,15.33,15.33,1.3462,8.9024,20150323,1.8116,1782055.83
23,000001.SZ,15.32,15.55,15.06,15.19,1.3366,8.839,20150320,2.0092,1976394.47
24,000001.SZ,15.19,15.48,15.12,15.48,1.3253,8.764,20150319,1.6065,1580300.28
25,000001.SZ,15.51,15.58,15.29,15.36,1.3532,8.9486,20150318,1.8614,1831000.67
26,000001.SZ,15.4,15.8,15.25,15.51,1.3436,8.8851,20150317,1.9924,1959841.87
27,000001.SZ,15.41,15.5,14.92,15.1,1.3445,8.8909,20150316,2.2553,2218472.46
28,000001.SZ,14.99,15.61,14.8,14.9,1.3078,8.6486,20150313,3.2165,3163988.35
29,000001.SZ,14.6,14.96,14.08,14.2,1.3161,10.9516,20150312,3.36,3305137.2
30,000001.SZ,13.86,14.08,13.79,13.79,1.2494,10.3965,20150311,0.9183,903354.13
31,000001.SZ,13.77,14.12,13.77,14.0,1.2413,10.329,20150310,1.4087,1385706.3
32,000001.SZ,14.15,14.34,13.32,13.47,1.2756,10.614,20150309,2.2419,2205323.61
33,000001.SZ,13.44,13.51,13.35,13.37,1.2116,10.0815,20150306,0.5663,557047.74
34,000001.SZ,13.38,13.53,13.29,13.5,1.2062,10.0364,20150305,0.8424,828604.85
35,000001.SZ,13.57,13.72,13.5,13.62,1.2233,10.179,20150304,0.8285,814973.04
36,000001.SZ,13.6,13.98,13.59,13.98,1.226,10.2015,20150303,1.0771,1059476.29
37,000001.SZ,14.03,14.09,13.87,14.03,1.2648,10.524,20150302,1.0357,1018797.0
38,000001.SZ,13.99,14.16,13.96,14.06,1.2612,10.494,20150227,0.8067,793570.14
39,000001.SZ,14.07,14.08,13.6,13.8,1.2684,10.554,20150226,1.0426,1025544.24
40,000001.SZ,13.8,14.05,13.76,14.04,1.244,10.3515,20150225,0.587,577392.33
41,000001.SZ,13.99,14.11,13.93,13.96,1.2612,10.494,20150217,0.6918,680491.59
42,000001.SZ,13.92,14.01,13.73,13.95,1.2548,10.4415,20150216,0.7332,721202.39
43,000001.SZ,13.95,14.18,13.84,13.93,1.2576,10.464,20150213,0.9025,887743.1
44,000001.SZ,13.86,13.9,13.62,13.75,1.2494,10.3965,20150212,0.6188,608715.68
45,000001.SZ,13.73,13.85,13.68,13.78,1.2377,10.299,20150211,0.5636,554349.51
46,000001.SZ,13.77,13.82,13.42,13.49,1.2413,10.329,20150210,0.7369,724875.37
47,000001.SZ,13.52,13.68,13.22,13.5,1.2188,10.1415,20150209,0.9623,946586.28
48,000001.SZ,13.51,13.95,13.4,13.69,1.2179,10.134,20150206,1.0475,1030408.56
49,000001.SZ,13.79,14.43,13.76,14.3,1.2431,10.344,20150205,1.9455,1913729.16
50,000001.SZ,13.71,14.04,13.7,14.0,1.2359,10.284,20150204,0.821,807623.11
51,000001.SZ,13.95,13.99,13.62,13.78,1.2576,10.464,20150203,0.898,883349.14
52,000001.SZ,13.63,13.8,13.55,13.6,1.2287,10.224,20150202,0.8752,860932.16
53,000001.SZ,13.93,14.12,13.76,13.93,1.2558,10.449,20150130,0.9456,930116.69
54,000001.SZ,13.9,14.01,13.75,13.82,1.253,10.4265,20150129,1.0336,1016753.29
55,000001.SZ,14.06,14.3,13.8,13.87,1.2675,10.5465,20150128,1.2615,1240877.55
56,000001.SZ,13.99,14.37,13.83,14.35,1.2612,10.494,20150127,1.3617,1339494.66
57,000001.SZ,14.34,14.44,14.16,14.36,1.2927,10.7565,20150126,1.0752,1057605.8
58,000001.SZ,14.4,14.63,14.3,14.36,1.2981,10.8016,20150123,1.4834,1459181.92
59,000001.SZ,14.3,14.52,14.16,14.34,1.2891,10.7265,20150122,1.2758,1255016.11
60,000001.SZ,14.42,14.6,13.75,13.88,1.2999,10.8166,20150121,1.9727,1940530.37
61,000001.SZ,13.83,14.06,13.56,13.83,1.2467,10.374,20150120,1.5158,1491018.11
62,000001.SZ,13.83,14.57,13.83,14.01,1.2467,10.374,20150119,2.1726,2137123.66
63,000001.SZ,15.37,15.62,15.18,15.4,1.3856,11.5292,20150116,1.5817,1555846.33
64,000001.SZ,15.35,15.35,14.71,14.85,1.3838,11.5142,20150115,1.2628,1242170.32
65,000001.SZ,14.81,15.2,14.7,14.78,1.3351,11.1091,20150114,1.284,1263029.64
66,000001.SZ,14.68,14.9,14.61,14.65,1.3234,11.0116,20150113,0.8304,816874.77
67,000001.SZ,14.77,15.05,14.5,14.87,1.3315,11.0791,20150112,1.5791,1553290.86
68,000001.SZ,15.08,15.87,14.71,14.9,1.3594,11.3116,20150109,2.5501,2508500.23
69,000001.SZ,14.96,15.57,14.9,15.5,1.3486,11.2216,20150108,1.4311,1407714.21
70,000001.SZ,15.48,15.83,15.3,15.56,1.3955,11.6117,20150107,1.7283,1700120.67
71,000001.SZ,15.78,16.39,15.55,15.85,1.4225,11.8367,20150106,2.2024,2166421.4
72,000001.SZ,16.02,16.28,15.6,15.99,1.4442,12.0167,20150105,2.9079,2860436.43
73,000002.SZ,24.43,24.43,21.66,22.4,3.0356,17.1455,20151218,2.3045,2238984.02
74,000002.SZ,22.21,22.21,20.35,20.38,2.7597,15.5875,20151217,2.6589,2583392.65
75,000002.SZ,20.19,20.99,20.01,20.63,2.5087,14.1698,20151216,1.22,1185363.96
76,000002.SZ,21.08,21.46,19.6,19.6,2.6193,14.7944,20151215,1.7228,1673876.32
77,000002.SZ,20.08,20.48,19.01,19.6,2.4951,14.0926,20151214,1.4329,1392194.06
78,000002.SZ,19.9,20.34,18.78,19.14,2.4727,13.9663,20151211,2.0945,2035008.42
79,000002.SZ,19.54,21.36,19.02,19.59,2.428,13.7136,20151210,3.1571,3067374.66
80,000002.SZ,19.55,19.55,17.81,17.95,2.4292,13.7206,20151209,3.7038,3598519.73
81,000002.SZ,17.77,18.07,17.4,17.9,2.208,12.4714,20151208,1.5746,1529886.06
82,000002.SZ,18.02,18.98,17.67,18.82,2.2391,12.6469,20151207,2.3217,2255719.38
83,000002.SZ,18.98,19.84,18.6,18.9,2.3584,13.3206,20151204,3.8782,3768009.49
84,000002.SZ,19.15,19.33,18.08,18.45,2.3795,13.4399,20151203,4.9108,4771236.37
85,000002.SZ,18.24,18.24,16.54,16.68,2.2664,12.8002,20151202,6.5745,6389886.13
86,000002.SZ,16.58,16.58,14.93,14.99,2.0602,11.6353,20151201,3.8585,3750163.7
87,000002.SZ,15.07,15.25,14.28,14.29,1.8725,10.5756,20151130,2.0784,2020009.99
88,000002.SZ,14.26,14.65,14.24,14.43,1.7719,10.0072,20151127,0.9138,888155.58
89,000002.SZ,14.5,14.62,14.47,14.55,1.8017,10.1756,20151126,0.3948,383748.22
90,000002.SZ,14.56,14.72,14.39,14.42,1.8092,10.2177,20151125,0.5986,581818.63
91,000002.SZ,14.5,14.55,14.14,14.37,1.8017,10.1756,20151124,0.7672,745686.58
92,000002.SZ,14.37,14.64,14.32,14.5,1.7856,10.0844,20151123,0.6475,629288.1
93,000002.SZ,14.49,14.72,14.37,14.45,1.8005,10.1686,20151120,0.7536,732482.95
94,000002.SZ,14.5,14.6,14.18,14.6,1.8017,10.1756,20151119,0.9116,886044.41
95,000002.SZ,14.67,15.27,14.01,14.07,1.8228,10.2949,20151118,1.8041,1753443.74
96,000002.SZ,14.0,14.3,13.9,14.03,1.7396,9.8247,20151117,0.6701,651299.51
97,000002.SZ,14.0,14.0,13.71,13.81,1.7396,9.8247,20151116,0.33,320707.08
98,000002.SZ,13.9,14.05,13.83,14.0,1.7272,9.7545,20151113,0.3947,383628.08
99,000002.SZ,14.09,14.25,14.01,14.24,1.7508,9.8879,20151112,0.5503,534850.66
100,000002.SZ,14.17,14.32,14.1,14.21,1.7607,9.944,20151111,0.5953,578612.55
101,000002.SZ,14.27,14.37,14.2,14.33,1.7731,10.0142,20151110,0.5398,524600.45
102,000002.SZ,14.4,14.66,14.18,14.21,1.7893,10.1054,20151109,0.8545,830505.01
103,000002.SZ,14.21,14.31,14.06,14.11,1.7657,9.9721,20151106,0.5163,501764.57
104,000002.SZ,14.12,14.58,13.95,14.05,1.7545,9.9089,20151105,0.9498,923180.52
105,000002.SZ,14.08,14.1,13.61,13.65,1.7495,9.8809,20151104,0.7909,768654.44
106,000002.SZ,13.66,13.7,13.54,13.56,1.6973,9.5861,20151103,0.3062,297604.21
107,000002.SZ,13.56,13.67,13.54,13.61,1.6849,9.5159,20151102,0.3385,328989.35
108,000002.SZ,13.67,13.75,13.6,13.7,1.6986,9.5931,20151030,0.3069,298317.92
109,000002.SZ,13.62,13.73,13.54,13.66,1.6924,9.558,20151029,0.287,278917.76
110,000002.SZ,13.66,13.83,13.66,13.68,1.6973,9.5861,20151028,0.3541,344164.9
111,000002.SZ,13.69,13.72,13.32,13.55,1.7331,9.6072,20151027,0.3546,344633.02
112,000002.SZ,13.67,13.97,13.58,13.88,1.7305,9.5931,20151026,0.8029,780360.45
113,000002.SZ,13.74,13.8,13.31,13.36,1.7394,9.6423,20151023,0.6952,675645.69
114,000002.SZ,13.35,13.4,13.17,13.23,1.69,9.3686,20151022,0.4654,452334.18
115,000002.SZ,13.23,13.61,13.2,13.55,1.6748,9.2844,20151021,0.5741,558005.09
116,000002.SZ,13.55,13.65,13.42,13.43,1.7153,9.5089,20151020,0.419,407246.37
117,000002.SZ,13.53,13.7,13.4,13.7,1.7128,9.4949,20151019,0.5911,574487.92
118,000002.SZ,13.65,13.75,13.52,13.53,1.728,9.5791,20151016,0.5211,506452.91
119,000002.SZ,13.52,13.56,13.28,13.3,1.7115,9.4879,20151015,0.4507,438053.9
120,000002.SZ,13.28,13.47,13.25,13.32,1.6812,9.3194,20151014,0.5606,544904.67
121,000002.SZ,13.47,13.56,13.35,13.41,1.7052,9.4528,20151013,0.5853,568893.46
122,000002.SZ,13.48,13.64,13.21,13.23,1.7065,9.4598,20151012,0.8068,784171.53
123,000002.SZ,13.23,13.28,13.07,13.13,1.6748,9.2844,20151009,0.6528,634505.0
124,000002.SZ,13.07,13.32,13.03,13.25,1.6546,9.1721,20151008,0.8446,820862.35
125,000002.SZ,12.73,12.81,12.57,12.67,1.6115,8.9329,20150930,0.5037,489518.62
126,000002.SZ,12.6,12.79,12.52,12.75,1.5951,8.8417,20150929,0.6152,597878.53
127,000002.SZ,12.85,12.99,12.78,12.88,1.6267,9.0171,20150928,0.4246,412656.86
128,000002.SZ,12.9,13.09,12.85,13.02,1.633,9.0522,20150925,0.4551,442280.17
129,000002.SZ,13.09,13.21,13.05,13.2,1.6571,9.1855,20150924,0.4564,443596.99
130,000002.SZ,13.15,13.26,13.1,13.15,1.6647,9.2276,20150923,0.3299,320597.31
131,000002.SZ,13.26,13.35,13.18,13.23,1.6786,9.3048,20150922,0.4643,451240.48
132,000002.SZ,13.18,13.2,13.06,13.06,1.6685,9.2486,20150921,0.4854,471720.75
133,000002.SZ,13.12,13.19,13.04,13.12,1.6609,9.2065,20150918,0.3546,344571.48
134,000002.SZ,13.1,13.39,13.1,13.35,1.6584,9.1925,20150917,0.6303,612529.61
135,000002.SZ,13.43,13.65,12.91,13.09,1.7001,9.424,20150916,0.7286,707855.53
136,000002.SZ,13.02,13.29,12.9,13.19,1.6482,9.1363,20150915,0.4907,476738.75
137,000002.SZ,13.19,13.54,13.17,13.47,1.6698,9.2556,20150914,0.5848,568116.97
138,000002.SZ,13.47,13.67,13.4,13.59,1.7052,9.4521,20150911,0.3227,313452.74
139,000002.SZ,13.54,13.79,13.51,13.63,1.7141,9.5012,20150910,0.43,417768.19
140,000002.SZ,13.76,14.04,13.59,13.71,1.7419,9.6556,20150909,0.8591,834576.92
141,000002.SZ,13.68,13.68,13.3,13.54,1.7318,9.5994,20150908,0.6709,651811.13
142,000002.SZ,13.6,14.5,13.5,13.99,1.7217,9.5433,20150907,1.4417,1400581.09
143,000002.SZ,14.22,14.33,13.47,13.77,1.8001,9.9784,20150902,2.3621,2294696.23
144,000002.SZ,14.23,14.26,13.26,13.7,1.8014,9.9854,20150901,2.008,1950730.23
145,000002.SZ,13.8,13.8,13.2,13.41,1.747,9.6836,20150831,1.4763,1434213.72
146,000002.SZ,13.58,13.68,13.04,13.31,1.7191,9.5293,20150828,1.4145,1374186.69
147,000002.SZ,13.18,13.68,12.6,13.64,1.6685,9.2486,20150827,1.5786,1533563.27
148,000002.SZ,13.25,13.82,13.05,13.3,1.6774,9.2977,20150826,2.4157,2346846.5
149,000002.SZ,13.0,13.42,12.54,12.8,1.6457,9.1223,20150825,2.8314,2750628.01
150,000002.SZ,13.19,13.68,12.88,13.65,1.6698,9.2556,20150824,3.5201,3419757.24
151,000002.SZ,13.91,14.38,13.85,14.19,1.7609,9.7608,20150821,1.4198,1379281.7
152,000002.SZ,14.28,14.45,14.22,14.35,1.8077,10.0205,20150820,0.8672,842493.86
153,000002.SZ,14.5,14.54,14.03,14.09,1.8356,10.1748,20150819,1.0287,999341.49
154,000002.SZ,14.22,14.89,14.1,14.74,1.8001,9.9784,20150818,1.5218,1478446.54
155,000002.SZ,14.76,14.82,14.57,14.78,1.8685,10.3573,20150817,1.3106,1273262.71
156,000002.SZ,14.95,15.29,14.81,14.86,1.9811,10.4906,20150814,1.5379,1494006.95
157,000002.SZ,14.88,15.06,14.55,14.9,1.9718,10.4415,20150813,1.1974,1163208.56
158,000002.SZ,14.93,15.36,14.83,15.2,1.9784,10.4766,20150812,1.4877,1445252.35
159,000002.SZ,15.57,15.93,14.84,14.95,2.0632,10.9257,20150811,2.6428,2567401.81
160,000002.SZ,15.07,15.18,14.53,14.69,1.997,10.5748,20150810,1.7358,1686307.47
161,000002.SZ,14.6,14.71,14.38,14.47,1.9347,10.245,20150807,0.892,866518.91
162,000002.SZ,14.34,14.63,14.14,14.26,1.9003,10.0626,20150806,0.5245,509536.91
163,000002.SZ,14.45,14.75,14.4,14.73,1.9148,10.1398,20150805,0.7835,761177.03
164,000002.SZ,14.79,14.98,14.53,14.61,1.9599,10.3776,20150804,0.8324,808632.09
165,000002.SZ,14.61,14.62,13.96,14.1,1.936,10.2513,20150803,1.5844,1539136.6
166,000002.SZ,14.18,14.24,13.89,13.95,1.8791,9.9496,20150731,1.264,1227839.5
167,000002.SZ,14.08,14.65,14.08,14.58,1.8658,9.8795,20150730,1.2801,1243463.75
168,000002.SZ,14.6,14.75,14.35,14.6,1.9347,10.2443,20150729,1.6894,1641064.99
169,000002.SZ,14.62,14.8,13.76,13.9,1.9374,10.2584,20150728,2.9197,2836192.53
170,000002.SZ,14.2,15.96,13.95,15.41,1.8817,9.9637,20150727,3.2193,3127221.1
171,000002.SZ,15.41,16.0,15.1,15.17,2.042,10.8127,20150724,4.7912,4654227.14
172,000002.SZ,15.16,15.23,14.46,14.54,2.0089,10.6373,20150723,3.4728,3373487.59
173,000002.SZ,14.7,14.75,14.1,14.51,1.948,10.3145,20150722,2.4113,2342343.93
174,000002.SZ,14.51,14.77,14.5,14.77,1.9228,10.1812,20150721,2.0154,1957817.88
175,000002.SZ,15.35,15.38,14.8,14.97,1.9077,10.7706,20150720,3.0487,2961502.38
176,000002.SZ,15.07,15.21,14.62,14.77,1.8729,10.5741,20150717,2.6278,2552673.15
177,000002.SZ,14.7,14.88,14.43,14.71,1.8269,10.3145,20150716,1.8296,1777245.98
178,000002.SZ,14.71,15.11,14.26,14.44,1.8282,10.3215,20150715,2.7625,2683554.64
179,000002.SZ,14.55,14.93,14.41,14.68,1.8083,10.2092,20150714,2.8614,2779623.47
180,000002.SZ,15.1,15.49,14.26,14.6,1.8766,10.5952,20150713,4.8259,4687954.96
181,000002.SZ,14.97,15.82,14.0,14.2,1.8605,10.5039,20150710,9.3758,9107701.67
182,000002.SZ,14.55,14.59,12.81,13.26,1.8083,10.2092,20150709,6.2491,6070451.4
183,000002.SZ,13.26,14.09,13.09,13.36,1.6479,9.3041,20150708,7.3819,7170862.08
184,000002.SZ,14.54,15.05,14.16,14.5,1.807,10.2022,20150707,4.7878,4650930.34
185,000002.SZ,14.88,15.07,13.9,14.93,1.8493,10.4408,20150706,6.347,6165474.08
186,000002.SZ,13.7,14.25,13.2,13.93,1.7026,9.6128,20150703,3.2475,3154673.26
187,000002.SZ,14.21,14.43,13.14,14.31,1.766,9.9699,20150702,3.4479,3349160.85
188,000002.SZ,14.25,14.72,14.15,14.25,1.771,9.998,20150701,2.9778,2892502.99
189,000002.SZ,14.52,14.62,13.6,13.92,1.8045,10.1874,20150630,4.2129,4092262.36
190,000002.SZ,13.69,14.3,12.88,13.85,1.7014,9.6051,20150629,4.332,4207973.6
191,000002.SZ,13.43,14.25,12.8,13.96,1.6691,9.4227,20150626,3.1612,3070641.41
192,000002.SZ,14.2,14.76,14.16,14.4,1.7648,9.9629,20150625,2.6198,2544738.43
193,000002.SZ,14.38,14.41,14.07,14.28,1.7871,10.0892,20150624,2.2256,2161884.59
194,000002.SZ,14.27,14.3,13.51,13.6,1.7735,10.012,20150623,2.8583,2776475.12
195,000002.SZ,13.55,14.21,13.5,14.0,1.684,9.5069,20150619,2.2501,2185683.84
196,000002.SZ,14.18,14.82,14.15,14.64,1.7623,9.9489,20150618,2.7028,2625411.35
197,000002.SZ,14.58,14.6,14.1,14.42,1.812,10.2295,20150617,2.2506,2186123.78
198,000002.SZ,14.38,14.93,14.26,14.92,1.7871,10.0892,20150616,2.7471,2668429.14
199,000002.SZ,14.95,15.5,14.91,15.48,1.858,10.4891,20150615,2.8226,2741810.57
200,000002.SZ,15.48,15.66,15.3,15.35,1.9239,10.861,20150612,2.5407,2467936.68
201,000002.SZ,15.32,15.52,15.15,15.4,1.904,10.7487,20150611,2.3859,2317570.26
202,000002.SZ,15.52,15.75,15.35,15.43,1.9288,10.8891,20150610,2.913,2829564.05
203,000002.SZ,15.66,16.25,15.49,16.16,1.9462,10.9873,20150609,4.3829,4257386.67
204,000002.SZ,16.08,16.22,15.47,15.6,1.9984,11.282,20150608,6.0221,5849615.57
205,000002.SZ,15.57,15.75,15.01,15.15,1.935,10.9241,20150605,5.8078,5641505.79
206,000002.SZ,14.99,15.35,14.13,15.07,1.863,10.5157,20150604,3.8634,3752068.2
207,000002.SZ,15.05,15.18,14.55,14.83,1.8704,10.5578,20150603,3.1032,3013718.13
208,000002.SZ,14.8,15.01,14.55,15.0,1.8393,10.3824,20150602,2.7582,2678691.31
209,000002.SZ,14.88,14.94,14.25,14.38,1.8493,10.4385,20150601,3.1924,3100399.74
210,000002.SZ,14.35,14.55,13.98,14.35,1.7834,10.0667,20150529,2.9298,2845316.61
211,000002.SZ,14.35,15.64,14.01,15.51,1.7834,10.0667,20150528,4.6369,4503202.31
212,000002.SZ,15.4,15.85,15.37,15.65,1.9139,10.8033,20150527,4.2469,4124448.62
213,000002.SZ,15.77,15.87,14.86,15.27,1.9599,11.0629,20150526,6.7563,6561485.78
214,000002.SZ,15.02,15.13,14.53,14.53,1.8667,10.5367,20150525,4.5982,4465669.98
215,000002.SZ,14.49,14.58,14.15,14.21,1.8008,10.1649,20150522,3.9141,3801245.17
216,000002.SZ,14.15,14.3,13.91,14.08,1.7586,9.9264,20150521,2.6159,2540510.24
217,000002.SZ,14.05,14.38,13.98,14.18,1.7461,9.8563,20150520,3.1467,3055941.0
218,000002.SZ,14.16,14.26,13.8,13.88,1.7598,9.9334,20150519,2.6584,2581797.81
219,000002.SZ,13.84,13.99,13.7,13.99,1.72,9.7089,20150518,2.4355,2365271.11
220,000002.SZ,14.16,14.78,13.99,14.71,1.7598,9.9334,20150515,3.4921,3391408.15
221,000002.SZ,14.59,15.6,14.53,14.9,1.8132,10.2351,20150514,8.0174,7786253.42
222,000002.SZ,14.7,14.92,13.73,13.93,1.8269,10.3122,20150513,5.9778,5805461.14
223,000002.SZ,13.92,14.04,13.83,14.04,1.73,9.7651,20150512,2.6229,2547328.0
224,000002.SZ,14.07,14.1,13.81,14.0,1.7486,9.8703,20150511,3.7615,3653074.74
225,000002.SZ,13.8,13.81,13.47,13.7,1.7151,9.6809,20150508,2.0373,1978575.05
226,000002.SZ,13.61,13.78,13.48,13.54,1.6914,9.5476,20150507,1.8063,1754222.81
227,000002.SZ,13.56,14.05,13.41,13.83,1.6852,9.5125,20150506,2.5966,2521719.03
228,000002.SZ,13.77,14.63,13.62,14.61,1.7113,9.6598,20150505,3.3831,3285524.31
229,000002.SZ,14.55,14.79,14.4,14.62,1.8083,10.207,20150504,3.1835,3091768.05
230,000002.SZ,14.6,14.93,14.21,14.33,1.8145,10.2421,20150430,5.5721,5411486.26
231,000002.SZ,14.24,14.43,13.93,14.07,1.7697,9.9896,20150429,2.8557,2773328.99
232,000002.SZ,14.19,14.66,14.11,14.65,1.7635,9.9545,20150428,3.9808,3866039.04
233,000002.SZ,14.7,14.7,14.3,14.41,1.8269,10.3122,20150427,4.3511,4225620.29
234,000002.SZ,14.42,14.7,14.15,14.48,1.8053,10.1158,20150424,3.7281,3620661.89
235,000002.SZ,14.76,15.25,14.65,15.15,1.8478,10.3543,20150423,4.8574,4717331.24
236,000002.SZ,14.88,14.92,14.41,14.5,1.8628,10.4385,20150422,4.6014,4468763.01
237,000002.SZ,14.48,14.55,14.02,14.16,1.8128,10.1579,20150421,3.8544,3743243.13
238,000002.SZ,14.21,15.1,14.19,14.78,1.779,9.9685,20150420,6.1093,5933164.79
239,000002.SZ,14.67,14.92,14.31,14.52,1.8366,10.2912,20150417,6.0196,5846092.75
240,000002.SZ,14.3,14.3,13.77,13.84,1.7902,10.0316,20150416,3.4456,3346233.3
241,000002.SZ,13.9,14.18,13.81,14.1,1.7402,9.751,20150415,2.8667,2784022.59
242,000002.SZ,14.12,14.46,14.0,14.33,1.7677,9.9054,20150414,3.374,3276759.89
243,000002.SZ,14.37,14.62,14.22,14.42,1.799,10.0807,20150413,4.1953,4074305.46
244,000002.SZ,14.32,14.47,14.07,14.28,1.7927,10.0457,20150410,4.3751,4248942.1
245,000002.SZ,14.64,14.82,13.51,13.83,1.8328,10.2702,20150409,7.3844,7171546.62
246,000002.SZ,13.82,13.92,13.41,13.72,1.7301,9.6949,20150408,4.6231,4489815.16
247,000002.SZ,13.72,13.73,13.37,13.48,1.7176,9.6248,20150407,3.8646,3753195.04
248,000002.SZ,13.45,13.48,13.19,13.41,1.6838,9.4354,20150403,3.6715,3565631.88
249,000002.SZ,13.59,13.92,13.43,13.76,1.7013,9.5336,20150402,3.2942,3199246.38
250,000002.SZ,13.72,13.86,13.47,13.73,1.7176,9.6248,20150401,3.8696,3758034.67
251,000002.SZ,13.82,14.97,13.65,14.85,1.7301,9.6949,20150331,7.7036,7481473.7
252,000002.SZ,14.24,14.48,13.18,13.4,1.9967,10.4038,20150330,6.5505,6361647.86
253,000002.SZ,13.35,13.35,13.02,13.18,1.8719,9.7535,20150327,3.5438,3441589.89
254,000002.SZ,12.95,13.05,12.57,12.69,1.8158,9.4613,20150326,2.1521,2090007.74
255,000002.SZ,12.78,13.04,12.69,13.04,1.7919,9.3371,20150325,2.1353,2073761.23
256,000002.SZ,13.05,13.38,12.86,13.37,1.8298,9.5344,20150324,2.735,2656169.43
257,000002.SZ,13.36,13.65,13.26,13.3,1.8733,9.7608,20150323,3.412,3313611.97
258,000002.SZ,13.14,13.35,12.78,12.95,1.8424,9.6001,20150320,3.5977,3494016.17
259,000002.SZ,12.87,13.08,12.76,13.08,1.8046,9.4029,20150319,2.193,2129788.91
260,000002.SZ,13.14,13.2,12.65,12.65,1.8424,9.6001,20150318,2.9814,2895467.76
261,000002.SZ,12.63,12.74,12.51,12.59,1.7709,9.2275,20150317,2.1915,2128349.13
262,000002.SZ,12.49,12.53,12.26,12.36,1.7513,9.1252,20150316,1.8058,1753781.83
263,000002.SZ,12.23,12.4,12.16,12.27,1.7148,8.9353,20150313,1.3737,1334069.73
264,000002.SZ,12.22,12.29,11.96,12.06,1.7134,8.928,20150312,1.8727,1818728.52
265,000002.SZ,11.93,12.2,11.87,12.02,1.6728,8.7161,20150311,1.188,1153733.66
266,000002.SZ,12.02,12.16,11.97,12.09,1.6854,8.7818,20150310,1.1091,1077109.86
267,000002.SZ,12.22,12.36,11.53,11.8,1.7134,8.928,20150309,2.1049,2044228.96
268,000002.SZ,11.94,12.13,11.88,11.9,1.6742,8.7234,20150306,1.1378,1105036.84
269,000002.SZ,11.9,12.16,11.81,12.09,1.6686,8.6942,20150305,1.847,1793786.93
270,000002.SZ,12.22,12.38,12.04,12.2,1.7134,8.928,20150304,1.696,1647137.63
271,000002.SZ,12.2,12.63,12.16,12.62,1.7106,8.9133,20150303,2.4358,2365535.41
272,000002.SZ,12.77,13.1,12.63,13.02,1.7906,9.3261,20150302,3.3228,3225633.94
273,000002.SZ,12.75,12.97,12.69,12.77,1.7878,9.3115,20150227,1.2839,1246318.61
